lat	lon	DMS [nmol/L]	MeSH [nmol/L]	sum	DMS_MeSH	MeSH_DMS	DMS_frac	MeSH_frac
61.126889	3.2532443	13.5713	0.3567	13.928	38.047	0.026	97.4	2.6
61.1634625	3.2557447	15.8727	0.3804	16.2531	41.726	0.024	97.7	2.3
61.1904411	3.2577116	16.4851	0.3992	16.8843	41.295	0.024	97.6	2.4
61.2193969	3.2601306	17.1367	0.4729	17.6096	36.237	0.028	97.3	2.7
61.2484861	3.2633739	20.6006	0.3789	20.9795	54.369	0.018	98.2	1.8
61.2779044	3.2657481	22.3845	0.4053	22.7898	55.229	0.018	98.2	1.8
61.3073635	3.2675468	25.6343	0.371	26.0053	69.095	0.014	98.6	1.4
61.3367246	3.2700933	24.0188	0.3356	24.3544	71.570	0.014	98.6	1.4
61.3666202	3.2729979	25.0658	0.3967	25.4625	63.186	0.016	98.4	1.6
61.396584	3.275077	25.2715	0.3717	25.6432	67.989	0.015	98.6	1.4
61.426338	3.2774113	21.8881	0.3834	22.2715	57.089	0.018	98.3	1.7
61.456147	3.2806585	21.4057	0.3686	21.7743	58.073	0.017	98.3	1.7
61.4857064	3.283019	20.1044	0.4197	20.5241	47.902	0.021	98.0	2.0
61.5152746	3.2855493	24.5718	0.4184	24.9902	58.728	0.017	98.3	1.7
61.5447776	3.2874224	24.4962	0.4905	24.9867	49.941	0.020	98.0	2.0
61.5746145	3.2905639	27.3687	0.4047	27.7734	67.627	0.015	98.5	1.5
61.6043812	3.2931558	25.6802	0.4217	26.1019	60.897	0.016	98.4	1.6
61.6338525	3.2951769	26.042	0.4491	26.4911	57.987	0.017	98.3	1.7
61.6631929	3.2973693	25.8909	0.5066	26.3975	51.107	0.020	98.1	1.9
61.6926175	3.3004766	23.7955	0.4481	24.2436	53.103	0.019	98.2	1.8
61.7223207	3.3026747	21.6369	0.4608	22.0977	46.955	0.021	97.9	2.1
61.7518268	3.3051252	24.0258	0.5349	24.5607	44.916	0.022	97.8	2.2
61.7813537	3.3075414	22.2843	0.5188	22.8031	42.954	0.023	97.7	2.3
61.8109461	3.3097891	21.8046	0.5265	22.3311	41.414	0.024	97.6	2.4
61.8404863	3.313122	21.0875	0.5136	21.6011	41.058	0.024	97.6	2.4
61.8697035	3.3148021	20.2992	0.5386	20.8378	37.689	0.027	97.4	2.6
61.8996017	3.3179986	21.5035	0.5709	22.0744	37.666	0.027	97.4	2.6
61.9298341	3.3203384	20.4695	0.5912	21.0607	34.624	0.029	97.2	2.8
61.9608619	3.3231865	19.7106	0.5864	20.297	33.613	0.030	97.1	2.9
61.9929287	3.3256971	20.2789	0.6874	20.9663	29.501	0.034	96.7	3.3
62.0247419	3.3281674	24.1282	0.5129	24.6411	47.043	0.021	97.9	2.1
62.0567049	3.3307905	16.587	0.4471	17.0341	37.099	0.027	97.4	2.6
62.0890293	3.3337415	16.7341	0.4026	17.1367	41.565	0.024	97.7	2.3
62.1213723	3.3362484	17.3158	0.4548	17.7706	38.073	0.026	97.4	2.6
62.1536551	3.3394739	17.8998	0.5176	18.4174	34.582	0.029	97.2	2.8
62.1852187	3.3423833	20.4095	0.8512	21.2607	23.977	0.042	96.0	4.0
62.2170337	3.3453615	30.9443	0.9486	31.8929	32.621	0.031	97.0	3.0
62.2480195	3.3479478	31.4469	0.7972	32.2441	39.447	0.025	97.5	2.5
62.2791224	3.3496694	26.4862	0.7331	27.2193	36.129	0.028	97.3	2.7
62.3096077	3.3526816	24.3451	0.85	25.1951	28.641	0.035	96.6	3.4
62.3404529	3.3552015	25.9452	0.6541	26.5993	39.665	0.025	97.5	2.5
62.3712252	3.3579962	18.9191	0.8967	19.8158	21.099	0.047	95.5	4.5
62.4017978	3.3611411	25.6397	0.7527	26.3924	34.064	0.029	97.1	2.9
62.4317864	3.3629484	21.5781	0.7747	22.3528	27.853	0.036	96.5	3.5
62.4615448	3.3654821	23.9098	0.644	24.5538	37.127	0.027	97.4	2.6
62.4919449	3.3684642	25.8566	0.6734	26.53	38.397	0.026	97.5	2.5
62.5223822	3.3707539	29.8042	0.6347	30.4389	46.958	0.021	97.9	2.1
62.55325	3.3741047	29.32	0.6962	30.0162	42.114	0.024	97.7	2.3
62.5838504	3.3764346	29.0573	0.7931	29.8504	36.638	0.027	97.3	2.7
62.6147953	3.3795451	21.1223	0.888	22.0103	23.786	0.042	96.0	4.0
