Station	DMS [nM]	Isoprene [pM]	Chla [ng/L]
0019-5	31.902	0.901	8630
0019-5	28.479	0.733	10190
0019-5	30.638	0.842	8726
0019-5	23.480	0.801	6225
0019-5	19.040	0.533	6598
0019-5	11.927	0.483	4544
0019-5	5.551	0.306	2131
0019-5	1.940	0.520	794
0019-15			7706
0019-15			7370
0019-15			7730
0019-15			6929
0019-15			2064
0019-15			2270
0019-15			810
0019-15			356
0021-1			1347
0021-1			3498
0021-1			2534
0021-1			6373
0021-1			2056
0021-1			996
0024-1			9842
0024-1			9992
0024-1			5628
0024-1			4780
0024-1			490
0024-1			297
0027-3	13.906	4.372	3077
0027-3	14.864	2.284	2711
0027-3	11.573	3.031	1948
0027-3	7.453	2.175	2484
0027-3	9.713	2.191	2412
0027-3	4.802	1.621	1629
0027-3	1.553	1.134	118
0027-3			0
0029-1			1553
0029-1			222
0029-1			552
0029-1			465
0029-1			302
0029-1			698
0031-3	3.600	2.416	1151
0031-3	3.013	3.103	1145
0031-3	4.192	3.004	1305
0031-3	2.910	2.270	966
0031-3	1.901	2.062	555
0031-3	1.735	1.693	490
0031-3	1.045	1.350	233
0031-3			49
0032-5	19.415	7.248	5592
0032-5	27.040	6.869	5627
0032-5	24.587	5.351	5828
0032-5	22.937	4.451	6987
0032-5	23.640	4.507	5653
0032-5	1.778	2.416	3092
0032-5	6.924	2.954	1740
0032-5	1.495	2.079	351
0036-1			2404
0036-1			3704
0036-1			2777
0036-1			1757
0036-1			1033
0036-1			348
0039-8	1.641	1.005	515
0039-8	1.800	0.902	133
0039-8	1.459	1.004	245
0039-8	1.671	0.756	463
0039-8	1.368	0.817	574
0039-8	0.344	1.679	474
0039-8	0.545	1.405	49
0043-5	2.130	2.166	348
0043-5	1.997	1.726	460
0043-5	1.992	1.499	243
0043-5	1.849	2.077	321
0043-5	1.949	1.745	345
0043-5	1.807	1.595	282
0043-5	1.444	1.586	184
0043-5	0.236	1.298	27
0046-2	1.895	4.153	352
0046-2	1.855	3.188	356
0046-2	2.027	2.549	359
0046-2	1.861	2.579	299
0046-2	1.980	2.573	270
0046-2	1.192	2.546	223
0046-2	0.556	2.196	163
0046-2	0.180		0
0047-4	15.034	3.249	3292
0047-4	9.553	2.638	2690
0047-4	9.262	2.503	2932
0047-4	6.817	2.051	1885
0047-4	6.476	1.828	1681
0047-4	1.405	2.310	335
0047-4	0.880	2.951	177
0047-4	0.310	1.809	47
0047-19			173
0047-19			241
0053-1			634
0053-1			873
0053-1			860
0053-1			675
0053-1			370
0053-1			3
0056-3			996
0056-3			1379
0056-3			1075
0056-3			889
0056-3			436
0056-3			90
