lat	DMS	MeSH	MeSH_DMS	Acetonitrile	Acetaldehyde	Acetone	Chlorophyll	CO	Isoprene
57.2249	26.5248	NA		2.1847	NA	43.6824	2.369980801	8.790374738	7.4293
57.2303	19.1153	NA		1.4882	20.7937	26.8934	2.372595177	10.24977123	5.1531
57.2358	17.987	NA		1.2518	16.4307	23.7587	2.232321777	9.797655877	3.7005
57.2370	20.7859	NA		1.8662	19.6981	26.032	2.224018182	11.57773322	5.1881
57.2402	19.7437	NA		1.6765	16.0527	22.3291	2.246912543	14.33880738	4.019
57.2393	19.6459	NA		1.3805	16.8821	22.3481	2.293007602	13.82844229	4.4686
57.2350	19.405	NA		1.4255	15.5664	18.8717	1.697667321	12.80828464	4.3493
57.2298	19.6296	NA		1.1206	15.7804	20.1568	1.579078646	15.06857473	4.4136
57.2241	20.9537	NA		1.432	17.0987	20.8811	1.698896647	14.57706633	4.2469
57.2183	23.4891	NA		1.3142	18.9153	26.5608	1.675741133	13.6655149	4.7134
57.2124	20.4186	NA		1.352	15.1251	21.8325	1.529212963	13.13155855	4.9425
57.2093	21.5691	NA		1.7094	17.2387	23.9671	1.664056977	12.52061185	4.7782
57.2125	21.1394	NA		1.4964	17.0477	22.3074	1.547179706	12.77522409	4.8056
57.2173	19.6555	NA		1.4867	14.2067	21.3146	1.460223376	13.30112161	4.388
57.2225	18.2883	NA		1.1346	14.6986	20.9227	1.434638438	11.88904367	3.7786
57.2280	18.857	NA		1.2524	16.5411	22.9635	1.321433221	12.85787117	4.3896
57.2336	20.7728	NA		1.2454	19.92	26.6513	1.28050856	12.67705933	5.9815
57.2392	20.5359	NA		1.3373	17.5283	23.1112	1.296943884	12.26053077	3.9554
57.2448	21.1858	NA		1.2192	17.799	23.8005	1.206591086	12.72558897	4.5777
57.2504	17.8416	NA		1.2183	12.2295	18.0388	1.068514328	13.08167497	3.4669
57.2557	20.3698	NA		1.4222	14.0038	19.1005	1.022438548	14.91622905	4.1348
57.2611	23.17	NA		1.6313	16.5898	22.973	1.020489625	17.93555932	3.9115
57.2664	23.0062	NA		1.4059	16.6135	21.9228	0.822948385	19.62597682	4.2077
57.2719	23.9727	NA		1.123	15.2958	21.1567	0.895752133	19.95790193	4.0396
