sample_title	collection_date	lat	lon	depth	temperature	watermass	clip_id
PS92 Auto2	2015-05-21	60.3592000	3.2992670	6	8.6	WAW	PS92_AutoFim02_clip
PS92 Auto3	2015-05-21	62.3833330	3.3583330	6	8.63	WAW	PS92_AutoFim03_clip
PS92 Auto4	2015-05-22	64.5202170	3.5504000	6	7.87	WAW	PS92_AutoFim04_clip
PS92 Auto5	2015-05-22	64.9402670	3.5894330	6	8.56	WAW	PS92_AutoFim05_clip
PS92 Auto6	2015-05-22	65.9032500	3.6434830	6	8.44	WAW	PS92_AutoFim06_clip
PS92 Auto7	2015-05-22	66.3584670	3.7270170	6	8.12	WAW	PS92_AutoFim07_clip
PS92 Auto8	2015-05-22	66.7694790	3.7684200	6	7.86	WAW	PS92_AutoFim08_clip
PS92 Auto9	2015-05-23	67.3160990	3.8247070	6	7.68	WAW	PS92_AutoFim09_clip
PS92 Auto10	2015-05-23	67.8988170	3.8855000	6	7.55	WAW	PS92_AutoFim10_clip
PS92 Auto11	2015-05-23	68.3313500	3.9156500	6	7.67	WAW	PS92_AutoFim11_clip
PS92 Auto12	2015-05-23	68.6850000	3.9706330	6	7.13	WAW	PS92_AutoFim12_clip
PS92 Auto13	2015-05-23	69.2885000	4.0134500	6	6.85	WAW	PS92_AutoFim13_clip
PS92 Auto14	2015-05-23	69.4964170	4.0159500	6	6.32	WAW	PS92_AutoFim14_clip
PS92 Auto15	2015-05-24	70.0000000	10.0000000	6	7.5	WAW	PS92_AutoFim15_clip
PS92 Auto16	2015-05-24	70.2269500	13.1490000	6	7.3	WAW	PS92_AutoFim16_clip
PS92 Auto17	2015-05-25	73.2500000	12.2500000	6	6.61	WAW	PS92_AutoFim17_clip
PS92 Auto18	2015-05-25	74.1303670	11.6916670	6	6.07	WAW	PS92_AutoFim18_clip
PS92 Auto19	2015-05-25	74.8432170	11.2082170	6	5.49	WAW	PS92_AutoFim19_clip
PS92 Auto20	2015-05-26	75.5176830	10.7291170	6	4.65	WAW	PS92_AutoFim20_clip
PS92 Auto21	2015-05-26	76.7603290	9.7863910	6	4.4	WAW	PS92_AutoFim21_clip
PS92 Auto22	2015-05-26	77.2797670	9.3513500	6	4.74	WAW	PS92_AutoFim22_clip
PS92 Auto23	2015-05-27	80.8706830	18.4478000	6	-1.18	cPW	PS92_AutoFim23_clip
PS92 Auto24	2015-05-27	81.0171818	19.8413127	6	-1.22	cPW	PS92_AutoFim24_clip
PS92 Auto25	2015-05-28	81.1700000	19.1345000	6	-1.62	cPW	PS92_AutoFim25_clip
PS92 Auto26	2015-05-28	81.1904141	19.0917688	6	-0.97	cPW	PS92_AutoFim26_clip
PS92 Auto27	2015-05-29	81.2062379	18.6974451	6	-0.94	cPW	PS92_AutoFim27_clip
PS92 Auto28	2015-05-29	81.2251322	18.5810020	6	-0.95	cPW	PS92_AutoFim28_clip
PS92 Auto31	2015-05-30	81.2329176	18.7611573	6	-1.73	cPW	PS92_AutoFim31_clip
PS92 Auto33	2015-06-01	81.3216038	17.3083944	6	-1.61	cPW	PS92_AutoFim33_clip
PS92 Auto34	2015-06-02	81.5257140	19.4475630	6	-1.35	cPW	PS92_AutoFim34_clip
PS92 Auto35	2015-06-03	81.5541158	19.5159314	6	-1.69	cPW	PS92_AutoFim35_clip
PS92 Auto36	2015-06-04	81.5275704	18.6556649	6	-1.64	cPW	PS92_AutoFim36_clip
PS92 Auto38	2015-06-11	81.9091540	13.4046800	6	-1.78	cPW	PS92_AutoFim38_clip
PS92 Auto39	2015-06-15	82.2097497	7.3882498	6	-1.77	cPW	PS92_AutoFim39_clip
