PS92_AutoFim02_clip	PS92_AutoFim03_clip	PS92_AutoFim04_clip	PS92_AutoFim05_clip	PS92_AutoFim06_clip	PS92_AutoFim07_clip	PS92_AutoFim08_clip	PS92_AutoFim09_clip	PS92_AutoFim10_clip	PS92_AutoFim11_clip	PS92_AutoFim12_clip	PS92_AutoFim13_clip	PS92_AutoFim14_clip	PS92_AutoFim15_clip	PS92_AutoFim16_clip	PS92_AutoFim17_clip	PS92_AutoFim18_clip	PS92_AutoFim19_clip	PS92_AutoFim20_clip	PS92_AutoFim21_clip	PS92_AutoFim22_clip	PS92_AutoFim23_clip	PS92_AutoFim24_clip	PS92_AutoFim25_clip	PS92_AutoFim26_clip	PS92_AutoFim27_clip	PS92_AutoFim28_clip	PS92_AutoFim31_clip	PS92_AutoFim33_clip	PS92_AutoFim34_clip	PS92_AutoFim35_clip	PS92_AutoFim36_clip	PS92_AutoFim38_clip	PS92_AutoFim39_clip
asv1	1477	1360	11368	33376	7757	1914	37931	2129	8555	804	3536	2452	11239	3404	3069	5566	13030	17450	17678	11587	8677	10465	4097	4290	3807	920	13236	1387	6059	8709	727	1664	2660	3075
asv2	1141	179	384	292	323	1129	1529	5593	5163	5680	11553	5434	1541	6674	2552	871	591	7743	5979	5707	7339	6155	4573	7072	8815	4811	17164	6840	4583	7229	2065	5860	100	1081
asv3	1077	1188	4238	8208	793	331	4132	358	3429	244	759	497	5023	1277	1132	3295	8463	8303	14395	11151	12713	18565	977	776	613	201	2886	242	4178	4522	308	228	1145	1406
asv4	10746	3890	3768	3604	5751	3387	2081	7388	8245	6545	5286	6827	4881	4957	6653	5422	3570	2342	2811	958	696	336	276	206	270	108	85	245	292	285	176	197	1	10
asv5	480	1647	1734	3088	4971	2290	3143	1242	1485	1042	2722	1351	4511	3962	4794	4890	3724	3614	7132	5560	5980	4949	716	751	1101	482	1296	665	1113	844	467	867	1536	2676
asv6	370	505	1031	250	1258	599	95	99	70	68	98	47	798	925	445	533	230	57	57	320	379	486	4372	5250	9889	5939	6487	10906	9008	7080	3707	6380	331	1530
asv7	5730	1746	3216	1758	1908	1166	1656	3679	2870	4151	7966	3976	2063	3070	2531	2042	879	1943	2085	1572	1584	1385	360	632	492	286	384	396	222	329	90	208	2	32
asv8	5	1	4	2	2	1	3	7	15	3	6	10	3	8	3	2	1	3	9	12	46	86	3100	3790	4497	3037	7591	5366	2028	5738	2488	3126	11	862
asv9	268	374	260	1770	2183	1088	1490	1388	1968	1818	3394	1128	1847	1020	2658	2741	1556	1285	5623	2134	1574	1137	60	58	26	11	10	1	7	24	4	9	0	5
asv10	2107	199	62	27	26	40	82	179	678	147	103	69	239	288	234	205	166	87	74	25	55	185	1406	1867	2161	1343	5428	4361	7331	3340	4032	2107	17	37
asv11	1095	378	543	883	1225	800	1368	1285	1991	1442	1230	881	1042	852	482	617	446	471	2272	859	519	434	1001	1934	2329	1140	2201	3148	1730	1892	485	1308	31	203
asv12	201	1115	935	1900	2755	1067	980	620	715	374	1076	594	2094	2136	2696	2756	2192	1614	3282	1535	1815	1077	55	56	38	19	42	22	46	28	15	28	24	44
asv13	914	253	811	1154	409	236	1238	87	439	38	196	248	759	194	225	645	908	2078	2977	1619	728	1542	3444	4462	1880	613	2097	127	799	370	59	69	148	135
asv14	256	154	179	62	205	109	24	281	270	181	248	153	836	414	1166	1133	543	504	760	508	755	495	1283	1034	2145	1390	2142	3248	2341	2137	3039	2186	56	621
asv15	1809	890	834	668	506	267	180	141	88	39	42	28	314	377	444	299	310	175	211	171	169	250	539	845	946	630	4051	2031	2439	1831	2817	1094	53	217
asv16	83	616	606	1468	2197	1073	2077	589	665	502	1239	725	1289	1215	1294	1306	1075	917	1811	1249	1255	864	60	42	61	23	54	29	82	51	22	60	131	280
asv17	4187	745	1045	2290	612	273	2347	158	490	129	423	183	569	243	222	222	262	520	1082	686	296	354	1686	1491	403	155	1857	72	637	266	44	31	523	429
asv18	6	51	34	81	317	142	15	103	116	80	255	90	294	273	814	816	901	774	1187	2748	3406	1339	606	436	924	443	198	414	785	962	1766	1234	442	906
asv19	70	210	2782	568	608	1068	1308	1184	1490	2664	2140	937	2166	1469	1559	1243	525	144	305	62	49	18	12	7	5	1	2	0	1	0	1	1	0	0
asv20	10	453	187	682	1979	816	97	702	558	284	550	488	1123	1147	2091	2381	2453	1108	1664	1233	1689	364	41	18	20	9	1	8	6	11	16	12	44	42
asv21	953	198	129	496	650	431	638	682	1294	1530	1533	1113	1358	582	166	329	454	744	5289	1622	1257	616	66	76	24	4	7	8	2	10	4	4	0	0
asv22	0	0	0	9	5	2	5	1	7	9	28	4	42	24	32	44	28	117	504	933	826	973	591	808	1161	706	2904	2014	3478	3114	670	2162	28	440
asv23	898	329	1734	205	407	267	301	43	24	27	13	7	746	634	661	577	170	17	10	5	9	67	843	958	1358	829	3750	2591	1775	912	292	991	9	50
asv24	16	3	7	1	0	0	0	5	2	4	8	3	6	6	12	2	2	10	7	11	65	199	1073	1294	1320	754	3567	1073	2605	3851	1441	2442	44	477
asv25	1704	484	529	840	590	411	589	842	1329	1120	1099	863	874	427	227	326	324	530	3577	1196	864	452	111	132	104	75	48	35	169	146	30	76	63	11
asv26	119	364	189	428	999	403	283	535	701	311	877	318	661	467	2632	2097	1318	778	2300	1122	1137	598	61	46	53	33	79	53	85	86	40	48	9	46
asv27	0	33	22	62	143	74	66	36	33	35	57	49	26	62	101	48	54	26	178	136	78	88	850	951	1457	1459	4049	1169	1570	2094	2005	1051	81	545
asv28	105	28	34	18	19	18	10	13	22	37	92	5	16	13	10	13	7	5	12	10	2	5	7518	7793	1866	762	95	10	7	3	3	0	4	3
asv29	0	0	0	0	13	8	2	0	2	1	0	0	450	331	154	180	53	59	117	559	441	892	222	185	426	219	253	643	6626	2040	489	1461	6	73
asv30	0	444	116	869	732	221	203	186	352	114	429	209	701	543	1176	1251	1432	953	2391	914	1101	734	30	9	8	10	25	16	47	28	27	13	14	35
asv31	12	262	89	425	1028	470	177	422	426	272	624	260	1014	695	1351	1493	993	670	1413	561	634	335	62	65	110	41	60	60	82	133	69	111	61	150
asv32	21	106	566	305	582	687	1439	487	557	484	602	258	645	966	886	590	203	40	28	6	11	8	285	360	517	301	1455	834	464	316	97	316	8	30
asv33	349	171	1633	218	177	112	84	57	50	110	91	52	34	25	37	37	13	3	8	9	40	104	641	632	1187	575	2686	1749	790	897	290	561	7	118
asv34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	38	1019	1520	3976	1506	791	2869	306	507	239	557	4	11
asv35	614	489	3204	419	388	260	799	122	154	162	313	72	148	201	235	187	107	41	94	70	71	99	264	295	472	249	903	396	684	643	138	520	120	297
asv36	8	3	16	48	7	0	28	0	10	0	4	3	18	5	7	9	59	63	132	82	87	145	25	10	3	1	959	86	3290	1499	815	228	2918	923
asv37	4045	435	1275	216	680	101	187	54	294	39	271	86	487	173	78	125	412	175	204	155	169	130	356	211	58	29	35	13	633	77	24	195	7	4
asv38	158	452	333	151	360	236	51	811	746	483	1129	585	641	401	1048	981	566	344	610	301	354	120	32	15	27	22	13	26	22	18	27	20	3	3
asv39	0	0	4	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	1	0	2	8	101	90	231	221	3517	441	3184	892	575	371	19	379
asv40	309	306	682	475	659	383	989	216	212	188	398	296	337	407	340	338	309	289	554	432	427	334	21	34	30	23	47	20	58	42	15	55	95	141
asv41	0	180	119	273	629	307	424	174	259	124	289	278	61	64	66	68	78	63	261	158	80	54	166	214	254	350	723	274	895	998	371	425	145	502
asv42	539	235	253	208	413	224	254	676	1550	171	205	171	628	610	833	889	427	139	86	46	30	20	84	163	74	45	12	27	10	14	0	12	0	0
asv43	91	231	105	565	737	312	306	493	502	172	347	234	434	402	1073	922	593	275	746	141	129	32	3	3	1	1	1	0	0	0	0	0	0	0
