Time	Year	Month	Day	HH	SS	lat	lon	temp	salinity	watermass
5/20/2015 6:40	2015	5	20	6	40	56.34665764	6.128937522	9.317	33.9645625	AWs
5/20/2015 6:45	2015	5	20	6	45	56.3476395	6.129097336	9.06712	34.0356	AWs
5/20/2015 6:50	2015	5	20	6	50	56.35239189	6.123179973	8.99114667	33.66993333	AWs
5/20/2015 6:55	2015	5	20	6	55	56.36637026	6.116386027	8.92152	33.81546	AWs
5/20/2015 7:00	2015	5	20	7	0	56.38173134	6.109397453	8.95580667	34.42503333	FAW
5/20/2015 7:05	2015	5	20	7	5	56.39729656	6.102611055	9.04538667	34.51815333	FAW
5/20/2015 7:10	2015	5	20	7	10	56.41272323	6.096943467	9.05750667	34.51722	FAW
5/20/2015 7:15	2015	5	20	7	15	56.4284594	6.091805134	9.0702963	34.37888889	AWs
5/20/2015 7:20	2015	5	20	7	20	56.4440409	6.086048856	9.09054545	34.58321212	FAW
5/20/2015 7:30	2015	5	20	7	30	56.47790097	6.074038882	9.04456863	34.60021569	FAW
5/20/2015 7:35	2015	5	20	7	35	56.49110033	6.069340376	8.87751333	34.63418667	FAW
5/20/2015 7:40	2015	5	20	7	40	56.50653135	6.0625411	8.80452	34.69166667	FAW
5/20/2015 7:45	2015	5	20	7	45	56.52190147	6.055024141	8.80432	34.70374	FAW
5/20/2015 7:50	2015	5	20	7	50	56.53717161	6.047950013	8.78642	34.7146	FAW
5/20/2015 7:55	2015	5	20	7	55	56.55149017	6.040343745	8.79632	34.76971333	FAW
5/20/2015 8:00	2015	5	20	8	0	56.56550523	6.033258293	8.83322	34.80739333	FAW
5/20/2015 8:05	2015	5	20	8	5	56.57945615	6.025848699	8.86918667	34.83647333	FAW
5/20/2015 8:10	2015	5	20	8	10	56.59305456	6.018142373	8.8544	34.84516	FAW
5/20/2015 8:15	2015	5	20	8	15	56.6066462	6.010420678	8.90001333	34.88846	FAW
5/20/2015 8:20	2015	5	20	8	20	56.62023111	6.00312648	8.89778667	34.90384	FAW
5/20/2015 8:25	2015	5	20	8	25	56.63364745	5.99523134	8.88384	34.91275333	WAW
5/20/2015 8:30	2015	5	20	8	30	56.64715123	5.98699168	8.91454	34.93022667	WAW
5/20/2015 8:35	2015	5	20	8	35	56.66085325	5.979064228	8.95784	34.94548	WAW
5/20/2015 8:40	2015	5	20	8	40	56.67413397	5.970416087	8.99892	34.95296	WAW
5/20/2015 8:45	2015	5	20	8	45	56.68766545	5.962666327	9.00046667	34.96059333	WAW
5/20/2015 8:50	2015	5	20	8	50	56.70149379	5.955581167	8.98002667	34.97260667	WAW
5/20/2015 8:55	2015	5	20	8	55	56.71526477	5.948382227	8.971	34.98188	WAW
5/20/2015 9:00	2015	5	20	9	0	56.72909454	5.941652907	8.96894	34.98163333	WAW
5/20/2015 9:15	2015	5	20	9	15	56.77528875	5.9180263	9.034	34.943525	WAW
5/20/2015 9:20	2015	5	20	9	20	56.78395311	5.913224207	9.05708667	34.94127333	WAW
5/20/2015 9:25	2015	5	20	9	25	56.79779844	5.906203333	9.11292	34.91813333	WAW
5/20/2015 9:30	2015	5	20	9	30	56.81190695	5.899119753	9.14584667	34.87981333	FAW
5/20/2015 9:35	2015	5	20	9	35	56.82728813	5.890920367	9.16999281	34.84144604	FAW
5/20/2015 9:40	2015	5	20	9	40	56.84533518	5.881739768	9.16957317	34.79947561	FAW
5/20/2015 9:45	2015	5	20	9	45	56.85687791	5.87489522	9.13222667	34.77405333	FAW
5/20/2015 9:50	2015	5	20	9	50	56.87116199	5.863531513	9.08494	34.74742667	FAW
5/20/2015 9:55	2015	5	20	9	55	56.88561443	5.852317772	9.03086667	34.73573333	FAW
5/20/2015 10:00	2015	5	20	10	0	56.90016544	5.84148708	8.96786667	34.7256	FAW
5/20/2015 10:05	2015	5	20	10	5	56.91472454	5.829938889	8.89168667	34.72301333	FAW
5/20/2015 10:10	2015	5	20	10	10	56.92898989	5.818703553	8.86834667	34.72462667	FAW
5/20/2015 10:15	2015	5	20	10	15	56.94337399	5.8075749	8.87259333	34.72699333	FAW
5/20/2015 10:20	2015	5	20	10	20	56.95743243	5.796819553	8.86769333	34.72923333	FAW
5/20/2015 10:25	2015	5	20	10	25	56.97543459	5.783097585	8.85407317	34.75560976	FAW
5/20/2015 10:30	2015	5	20	10	30	56.98369323	5.776384453	8.80228667	34.78838	FAW
5/20/2015 10:35	2015	5	20	10	35	56.99687674	5.766454805	8.69488667	34.83176	FAW
5/20/2015 10:40	2015	5	20	10	40	57.01003601	5.75635022	8.63758	34.84795333	FAW
5/20/2015 10:45	2015	5	20	10	45	57.02311924	5.746103128	8.61776	34.85536667	FAW
5/20/2015 10:50	2015	5	20	10	50	57.03615811	5.73588722	8.60368667	34.85140667	FAW
5/20/2015 10:55	2015	5	20	10	55	57.04920771	5.725852342	8.5921	34.85293333	FAW
5/20/2015 11:00	2015	5	20	11	0	57.06203533	5.715721667	8.59092667	34.85811333	FAW
5/20/2015 11:05	2015	5	20	11	5	57.07500539	5.705295034	8.58008	34.86688	FAW
5/20/2015 11:10	2015	5	20	11	10	57.087812	5.69569532	8.70136	34.88634	FAW
5/20/2015 11:15	2015	5	20	11	15	57.10066173	5.685830101	8.933	34.87941333	FAW
5/20/2015 11:20	2015	5	20	11	20	57.11313023	5.6757159	9.05616	34.85787333	FAW
5/20/2015 11:25	2015	5	20	11	25	57.12586434	5.66618376	9.12126667	34.83226667	FAW
5/20/2015 11:30	2015	5	20	11	30	57.13856767	5.655791107	9.10302	34.84340667	FAW
5/20/2015 11:35	2015	5	20	11	35	57.1515066	5.645989919	9.07734667	34.84296667	FAW
5/20/2015 11:40	2015	5	20	11	40	57.16428157	5.63592388	9.04874	34.81356667	FAW
5/20/2015 11:45	2015	5	20	11	45	57.17724451	5.626158611	9.07522667	34.74265333	FAW
5/20/2015 11:50	2015	5	20	11	50	57.18995089	5.615883887	9.09272	34.76366	FAW
5/20/2015 11:55	2015	5	20	11	55	57.20260669	5.605884443	9.16370667	34.74779333	FAW
5/20/2015 12:00	2015	5	20	12	0	57.2153751	5.596184093	9.20846667	34.70916	FAW
5/20/2015 12:05	2015	5	20	12	5	57.22831103	5.5862706	9.24066	34.6696	FAW
5/20/2015 12:10	2015	5	20	12	10	57.23750079	5.574732407	9.26526	34.64609333	FAW
5/20/2015 12:15	2015	5	20	12	15	57.23773322	5.579130772	9.31042	34.64298	FAW
5/20/2015 12:20	2015	5	20	12	20	57.22623167	5.588151007	9.30580667	34.64388667	FAW
5/20/2015 12:25	2015	5	20	12	25	57.21315566	5.596711228	9.27281333	34.65366667	FAW
5/20/2015 12:30	2015	5	20	12	30	57.21405958	5.591025793	9.28052	34.68258667	FAW
5/20/2015 12:35	2015	5	20	12	35	57.22600188	5.58396958	9.28928	34.67022667	FAW
5/20/2015 12:40	2015	5	20	12	40	57.239075	5.576355407	9.29643333	34.64897333	FAW
5/20/2015 12:45	2015	5	20	12	45	57.25203703	5.567546631	9.31145333	34.65002	FAW
5/20/2015 12:50	2015	5	20	12	50	57.26450756	5.557422807	9.37066	34.68682	FAW
